1,Bob,CA,25.00,Tile,181.00,15.00,25.00,2715.00,4525.00,1810.00,9050.00
2,Foo Bar,KY,6.00,Bamboo,286.00,35.00,12.50,10010.00,3575.00,815.10,14400.10
3,Bob,WA,9.25,Linoleum,143.00,7.50,5.00,1072.50,715.00,160.88,1948.38
4,Jean Luc Picard,KY,6.00,Carpet,167.00,10.00,15.50,1670.00,2588.50,255.51,4514.01
5,Foo Bar,CA,25.00,Bamboo,62.00,35.00,12.50,2170.00,775.00,736.25,3681.25
6,Bob,WA,9.25,Linoleum,79.00,7.50,5.00,592.50,395.00,88.88,1076.38
7,Jean Luc Picard,CA,25.00,Sheet Plastic,159.00,2.00,0.50,318.00,79.50,99.38,496.88
8,Bob,WA,9.25,Tile,307.00,15.00,25.00,4605.00,7675.00,1105.20,13385.20
9,Jean Luc Picard,TX,4.45,Bamboo,159.00,35.00,12.50,5565.00,1987.50,302.10,7854.60
10,Ruth Bader Ginsburg,TX,4.45,Linoleum,146.00,7.50,5.00,1095.00,730.00,73.00,1898.00
11,Ada Lovelace,WA,9.25,Bamboo,127.00,35.00,12.50,4445.00,1587.50,542.92,6575.42
12,Albert Einstein,TX,4.45,Tile,365.00,15.00,25.00,5475.00,9125.00,584.00,15184.00
13,Jean Luc Picard,CA,25.00,Tile,139.00,15.00,25.00,2085.00,3475.00,1390.00,6950.00
14,Doctor Who,TX,4.45,Carpet,184.00,10.00,15.50,1840.00,2852.00,187.68,4879.68
15,Doctor Who,KY,6.00,Linoleum,143.00,7.50,5.00,1072.50,715.00,107.25,1894.75
